Kod;Nazwa;Sekcje wg PKD 2007;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;Sekcja I;2012;174811;etat; 
0000000;POLSKA;Sekcja I;2010;175663;etat; 
0000000;POLSKA;Sekcja I;2016;180707;etat; 
0000000;POLSKA;Sekcja B;2007;180844;etat; 
0000000;POLSKA;Sekcja I;2009;180892;etat; 
0000000;POLSKA;Sekcja B;2008;182084;etat; 
0000000;POLSKA;Sekcja I;2008;182345;etat; 
0000000;POLSKA;Sekcja B;2006;183006;etat; 
0000000;POLSKA;Sekcja B;2009;183220;etat; 
0000000;POLSKA;Sekcja B;2005;187967;etat; 
0000000;POLSKA;Sekcja J;2008;189626;etat; 
0000000;POLSKA;Sekcja I;2017;193663;etat; 
0000000;POLSKA;Sekcja J;2010;195296;etat; 
0000000;POLSKA;Sekcja I;2020;195539;etat; 
0000000;POLSKA;Sekcja J;2009;195653;etat; 
0000000;POLSKA;Sekcja I;2018;195675;etat; 
0000000;POLSKA;Sekcja J;2011;198172;etat; 
0000000;POLSKA;Sekcja I;2021;198693;etat; 
0000000;POLSKA;Sekcja J;2012;204145;etat; 
0000000;POLSKA;Sekcja J;2013;207438;etat; 
0000000;POLSKA;Sekcja I;2019;208257;etat; 
0000000;POLSKA;Sekcja I;2022;215877;etat; 
0000000;POLSKA;Sekcja J;2014;216792;etat; 
0000000;POLSKA;Sekcja J;2015;229211;etat; 
0000000;POLSKA;Sekcja K;2005;244010;etat; 
0000000;POLSKA;Sekcja J;2016;245054;etat; 
0000000;POLSKA;Sekcja K;2006;250471;etat; 
0000000;POLSKA;Sekcja K;2021;253532;etat; 
0000000;POLSKA;Sekcja K;2020;255395;etat; 
0000000;POLSKA;Sekcja J;2017;258732;etat; 
0000000;POLSKA;Sekcja K;2022;260171;etat; 
0000000;POLSKA;Sekcja K;2007;260754;etat; 
0000000;POLSKA;Sekcja N;2005;262885;etat; 
0000000;POLSKA;Sekcja K;2019;267222;etat; 
0000000;POLSKA;Sekcja J;2018;267548;etat; 
0000000;POLSKA;Sekcja K;2018;268151;etat; 
0000000;POLSKA;Sekcja K;2015;268380;etat; 
0000000;POLSKA;Sekcja K;2017;270201;etat; 
0000000;POLSKA;Sekcja M;2005;270499;etat; 
0000000;POLSKA;Sekcja K;2016;273574;etat; 
0000000;POLSKA;Sekcja N;2006;277158;etat; 
0000000;POLSKA;Sekcja M;2006;277730;etat; 
0000000;POLSKA;Sekcja K;2014;278889;etat; 
0000000;POLSKA;Sekcja K;2009;278924;etat; 
0000000;POLSKA;Sekcja K;2013;279188;etat; 
0000000;POLSKA;Sekcja K;2011;280529;etat; 
0000000;POLSKA;Sekcja K;2010;281681;etat; 
0000000;POLSKA;Sekcja K;2008;282644;etat; 
0000000;POLSKA;Sekcja J;2019;283133;etat; 
0000000;POLSKA;Sekcja K;2012;285751;etat; 
0000000;POLSKA;Sekcja J;2020;288136;etat; 
0000000;POLSKA;Sekcja M;2007;294184;etat; 
0000000;POLSKA;Sekcja N;2007;297357;etat; 
0000000;POLSKA;Sekcja J;2021;312636;etat; 
0000000;POLSKA;Sekcja M;2008;313860;etat; 
0000000;POLSKA;Sekcja N;2008;320033;etat; 
0000000;POLSKA;Sekcja N;2009;320795;etat; 
0000000;POLSKA;Sekcja M;2009;326318;etat; 
0000000;POLSKA;Sekcja M;2010;328354;etat; 
0000000;POLSKA;Sekcja M;2011;339346;etat; 
0000000;POLSKA;Sekcja M;2012;346074;etat; 
0000000;POLSKA;Sekcja J;2022;346334;etat; 
0000000;POLSKA;Sekcja M;2013;350035;etat; 
0000000;POLSKA;Sekcja N;2010;353781;etat; 
0000000;POLSKA;Sekcja N;2012;355844;etat; 
0000000;POLSKA;Sekcja N;2011;359245;etat; 
0000000;POLSKA;Sekcja M;2014;365899;etat; 
0000000;POLSKA;Sekcja N;2013;365964;etat; 
0000000;POLSKA;Sekcja M;2015;374263;etat; 
0000000;POLSKA;Sekcja N;2014;382451;etat; 
0000000;POLSKA;Sekcja M;2016;394476;etat; 
0000000;POLSKA;Sekcja N;2015;401879;etat; 
0000000;POLSKA;Sekcja M;2017;406782;etat; 
0000000;POLSKA;Sekcja M;2018;427326;etat; 
0000000;POLSKA;Sekcja N;2016;440918;etat; 
0000000;POLSKA;Sekcja N;2020;445176;etat; 
0000000;POLSKA;Sekcja M;2019;448581;etat; 
0000000;POLSKA;Sekcja M;2020;451483;etat; 
0000000;POLSKA;Sekcja N;2021;460054;etat; 
0000000;POLSKA;Sekcja N;2022;461935;etat; 
0000000;POLSKA;Sekcja N;2019;472299;etat; 
0000000;POLSKA;Sekcja M;2021;475151;etat; 
0000000;POLSKA;Sekcja N;2017;479307;etat; 
0000000;POLSKA;Sekcja N;2018;480290;etat; 
0000000;POLSKA;Sekcja M;2022;500047;etat; 
0000000;POLSKA;Sekcja H;2005;507465;etat; 
0000000;POLSKA;Sekcja F;2005;518082;etat; 
0000000;POLSKA;Sekcja H;2006;524131;etat; 
0000000;POLSKA;Sekcja F;2006;546925;etat; 
0000000;POLSKA;Sekcja H;2007;550784;etat; 
0000000;POLSKA;Sekcja O;2005;551763;etat; 
0000000;POLSKA;Sekcja O;2006;559929;etat; 
0000000;POLSKA;Sekcja O;2007;574426;etat; 
0000000;POLSKA;Sekcja H;2009;581794;etat; 
0000000;POLSKA;Sekcja H;2010;582492;etat; 
0000000;POLSKA;Sekcja H;2013;585212;etat; 
0000000;POLSKA;Sekcja O;2008;586342;etat; 
